category,title,album ,year,youtubeurl,
Rani Mukerji,Dekhne Waalon Ne,Chori Chori Chupke Chupke,2001,https://youtu.be/O3NT2vHTYlo?si=r-htfREd-esb7IuN,
Rani Mukerji,Jeevan Mein Jaane Jaana,Bichhoo,2000,https://youtu.be/pZIuPuukgBw?si=HCPER2Y0RbeOqd8W,
Rani Mukerji,Teri Chunnariya Dil Le Gayi,Hello Brother,1999,https://youtu.be/3BYLqQTgdz8?si=4_lErvCwafNECcIs,
Rani Mukerji,Har Dil Jo Pyar Karega,Har Dil Jo Pyar Karega,2000,https://youtu.be/4K4kYJZf48I?si=pdIr2YFNZvNmV2UG,
Sushmita Sen ,Chunnari Chunnari,Biwi No.1,1999,https://youtu.be/6z1U-kJ3xJE?si=Yc5s7BdZMAYH2-E-,
Sushmita Sen ,Dilbar Dilbar,Sirf Tum,1999,https://youtu.be/eTLz68CpqnY?si=xYJ_-GInRKlFTdsN,
Sushmita Sen ,Tumhe Jo Maine Dekha,Main Hoon Na,2004,https://youtu.be/RAKisl-L3CQ?si=UBBFVk3Niy4Y5KJK,
Preity Zinta,Chori Chori Chupke Chupke,Chori Chori Chupke Chupke,2001,https://youtu.be/msSn0Dpogm0?si=N8IgQnwDEA9Jht7T,
Preity Zinta,Main Yahaan Hoon,Veer-Zaara,2004,https://youtu.be/m6Y8xEfyXTs?si=cPYZ4BybGn9E4Hbg,
Preity Zinta,Kasam Khake Kaho,Dil Hai Tumhaara,2002,https://youtu.be/ZfZPVSiNasI?si=pY-WEIJqWPPIhyfz,
Abhijeet Bhattacharya,Dheere Dheere,Tere Bina,2003,https://youtu.be/Tx7YCSTJC6I?si=Gw1Re_7vcrEF-jU6,
Abhijeet Bhattacharya,Kabhi Mausam,Tere Bina,2003,https://youtu.be/ww23pMTVPaE?si=trbOi_Jr05Vymdex,
Abhijeet Bhattacharya,Chalne Lagi Hai,Tere Bina,2003,https://youtu.be/Mhr9lT6YQ2E?si=C5GohxFGMdVitA-k,
Nora Fatehi,Sultana ,Be Happy,2025,https://youtu.be/rdJLNSCq3UE?si=dqnyMCDMg7jgReWC,
Nora Fatehi,Payal,Paradox,2024,https://youtu.be/a-PAcmi5Kas?si=WAZ5NH9L-PNDU-u5,
Nora Fatehi,Oh Mama! TETEMA,Nora Fatehi,2025,https://youtu.be/ge_UgErt4yo?si=akBG9J0PxwKsF0gx,
Miscellaneous ,Boom Boom - Remix,Nazia Hasan,1982,https://youtu.be/M34q6FaQwqw?si=aRA5oem-5V88SIkE,
Miscellaneous ,Saawariya,Aastha Gill,2021,https://youtu.be/uucoiREuIy4?si=9XBkFvqJQhHd-Eqb,
Miscellaneous ,Mere Mehboob,Vicky Vidya Ka Woh Wala Video,2024,https://youtu.be/UdsO4SM4wKI?si=d3-nupk4V1EuVzZw,
Miscellaneous ,Lambi Judai,Jannat,2008,https://youtu.be/e0DhOAEUTAs?si=xf6HaIOel8VCRu1Z,
Miscellaneous ,Maahi Ve,Kaante,2002,https://youtu.be/ejDRaO-1VPI?si=vFmRU9fca759Bbbh,
Miscellaneous ,Ahista Ahista,Ahista Ahista,2006,https://youtu.be/pVF8qNTzems?si=ckG1ZoIZWDt6TQQl,
Miscellaneous ,Lagi Lagi- Remix,Aksar,2006,https://youtu.be/191xj821Y-E?si=VdF-2d3u190nzrcM,
Miscellaneous ,Dil Tu Hi Bataa,Krrish 3,2013,https://youtu.be/Hievfejv90c?si=NkJdhiozPVEwSLKs,
Miscellaneous ,O Sajan O Sajan,Taarzan: The Wonder Car,2004,https://youtu.be/4XmcIxfTkXQ?si=y5iKu0HXIdVgclCD,Unofficial
Miscellaneous ,Akhiyaan Gulaab,Teri Baaton Mein Aisa Uljha Jiya,2024,https://youtu.be/GvXDq-P1NB8?si=LMDmd8h8J2tel6-r,
Miscellaneous ,Burjkhalifa,Laxmii ,2020,https://youtu.be/a0TkeUhcVrM?si=G0yrlYyaNXwyUu4Z,
Evergreen,O mere sona re sona,Teesri Manzil,1966,https://youtu.be/h6744I_fT7Q?si=zHAwv6JrzDFesHBz,Unofficial
Evergreen,Aaiye Meherbaan,Howrah Bridge,1958,https://youtu.be/go4ixEgnecg?si=vESPk0iJ7JMHMeVi,Unofficial
Evergreen,Aao Huzoor Tumko,Kismat,1969,https://youtu.be/1thHKvD1U-M?si=yPu85g9jgtgfxtcx,Unofficial
Evergreen,Dum Maro Dum,Hare Rama Hare Krishna,1971,https://youtu.be/kOrRYDJ4AuY?si=0YID617NsFn2_8Nv,Unofficial
Evergreen,Laila O Laila,Qurbani,1980,https://youtu.be/1i_MwtbXezY?si=qu1Scbf3eGw_zHcS,Unofficial
Evergreen,Jawani Janeman Haseen Dilruba,Namak Halal,1982,https://youtu.be/tT3UXtf6jpE?si=Cmn2xrHJxjIjENOq,Unofficial
Pop,SIRRA,Without-Prejudice,2025,https://youtu.be/knGCfzm4jWs?si=Ajv8kuGcD4p8NbdG,
Pop,Lag Di Lahore Diya,Guru Randhawa,2017,https://youtu.be/dZ0fwJojhrs?si=8R2-7iw_GRLw0_ZR,
Pop,Bang Bang,Bang Bang,2014,https://youtu.be/jZyAB2KFDls?si=AmIK4grIsznXUJdX,
Pop,Saiyaan Ji,Nushrratt Bharuccha,2021,https://youtu.be/VEkj2sanAeU?si=H1ck4umoaumW4IGN,
Pop,Zaalima,Raees,2017,https://youtu.be/lpdRqn6xwiM?si=uqzzjNwxZ7zyfsPY,
Pop,Dil Melt Karda,Haseen Dillruba,2021,https://youtu.be/MNOar14DJYI?si=i8IG9On0aPIMbvoO,
Pop,Barbaadiyan,Shiddat,2021,https://youtu.be/vJQMhj6WYZA?si=SbD9675wDUNniftP,
